F,CdTe,M_Cd,-0.831,0.436,2,5,2,17,0,0,4,0.38,-93.4116,-0.69,813.3,-0.769,328,2.29,-39,-1
Mn,CdTe,M_Cd,1.996,7.361,2,1,4,7,0,0,4,-0.28,-57.472,-0.24,-150.3,-0.249,0,-0.14,-23,5
Rb,CdTe,M_i_Cd_site,-0.324,0.723,0,2,5,1,0.25,4,3,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4
Hf,CdTe,M_i_Te_site,1.839,6.291,0,0,6,4,0.75,3,4,0.83,178.49,1.44,642,1.564,0,1.3,72,4
Ba,CdTe,M_i_Te_site,1.619,5.048,0,1,6,2,0.75,3,4,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2
Ru,CdTe,M_Te,0.949,2.582,-2,-2,5,8,1,4,0,-0.35,-26.53,-0.11,-158.2,-0.275,-80.15,0.1,-8,2
B,CdTe,M_i_Cd_site,1.633,5.119,0,-1,2,13,0.25,4,3,0.23,10.811,0.82,800.6,0.98,27,2.04,5,3
Sn,CdS,M_i_Cd_site,1.547,4.696,0,2,5,14,0.25,4,3,0.71,118.71,1.41,708.6,1.62,121,1.96,50,4
Hf,CdTe,M_i_old,0.948,2.581,0,3,6,4,0.5,3,3,0.83,178.49,1.44,642,1.564,0,1.3,72,4
Ge,CdTe,M_i_Cd_site,1.525,4.594,0,0,4,14,0.25,4,3,0.53,72.61,1.22,762.1,1.37,120,2.01,32,4
Mg,CdTe,M_Te,1.157,3.182,-2,-2,3,2,1,4,0,-0.25,-103.295,0,-131.5,0,-420.15,-0.79,-40,-4
Cr,CdTe,M_i_Te_site,1.735,5.666,0,0,4,6,0.75,3,4,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6
Hf,CdTe,M_i_Te_site,1.51,4.526,0,1,6,4,0.75,3,4,0.83,178.49,1.44,642,1.564,0,1.3,72,4
Pd,CdTe,M_Te,2.195,8.979,-2,-4,5,10,1,4,0,-0.33,-21.18,-0.08,-64.2,-0.225,-130.15,0.1,-6,-2
Ca,CdSe,M_Se,0.373,1.452,-2,1,4,2,1,4,0,0.5,-38.882,0.58,-351.1,0.57,350.96,1.55,14,4
Ag,CdTe,M_Te,-0.805,0.447,-2,1,5,11,1,4,0,0.18,-19.732,-0.02,-138.2,-0.156,-64.45,-0.17,-5,-4
I,CdTe,M_i_Cd_site,-0.59,0.554,0,3,5,17,0.25,4,3,2.2,126.9045,1.33,1008.4,1.33,295.3,2.66,53,7
Ru,CdTe,M_Te,-0.237,0.789,-2,-1,5,8,1,4,0,-0.35,-26.53,-0.11,-158.2,-0.275,-80.15,0.1,-8,2
Tc,CdTe,M_i_Cd_site,0.179,1.196,0,2,5,7,0.25,4,3,0.56,98,1.27,702,1.358,70,1.9,43,7
Co,CdTe,M_i_Cd_site,2.339,10.368,0,-2,4,9,0.25,4,3,0.65,58.9332,1.16,758,1.253,70,1.88,27,3
Cu,CdSe,M_Cd,1.791,5.998,2,1,4,11,0,0,4,-0.22,-48.954,-0.24,-122.3,-0.211,118.3,0.21,19,0
Os,CdTe,M_i_old,0.09,1.094,0,2,6,8,0.5,3,3,0.63,190.2,1.26,840,1.34,110,2.2,76,8
Ni,CdTe,M_Te,-0.573,0.564,-2,0,4,10,1,4,0,-0.28,-68.9066,-0.21,-132.5,-0.354,-79.15,-0.19,-24,-3
